"Comments_kind", "youtube#comment"
"Comments_etag", "etag"
"Comments_id", "string"
"Comments_snippet_authorDisplayName", "string"
"Comments_snippet_authorProfileImageUrl", "string"
"Comments_snippet_authorChannelUrl", "string"
"Comments_authorChannelId_value", "string"
"Comments_snippet_channelId", "string"
"Comments_snippet_videoId", "string"
"Comments_snippet_textDisplay", "string"
"Comments_snippet_textOriginal", "string"
"Comments_snippet_parentId", "string"
"Comments_snippet_canRate", "boolean"
"Comments_snippet_viewerRating", "string"
"Comments_snippet_likeCount", "unsigned integer"
"Comments_snippet_moderationStatus", "string"
"Comments_snippet_publishedAt", "datetime"
"Comments_snippet_updatedAt", "datetime"
