"video_kind", "youtube#video"
"video_etag", "etag"
"video_id", "string"
"video_snippet_publishedAt", "datetime"
"video_snippet_channelId", "string"
"video_snippet_title", "string"
"video_snippet_description", "string"
"video_snippet_categoryId", "string"
"video_snippet_defaultLanguage", "string"
"video_snippet_localized_title", "string"
"video_snippet_localized_description", "strin"
"video_snippet_defaultAudioLanguage", "strin"
"video_status_uploadStatus", "string"
"video_status_failureReason", "string"
"video_status_rejectionReason", "string"
"video_status_privacyStatus", "string"
"video_status_publishAt", "datetime"
"video_status_license", "string"
"video_status_embeddable", "boolean"
"video_status_publicStatsViewable", "boolea"
"video_statistics_viewCount", "unsigned long"
"video_statistics_likeCount", "unsigned long"
"video_statistics_dislikeCount", "unsigned long"
"video_statistics_favoriteCount", "unsigned long"
"video_statistics_commentCount", "unsigned long"
"video_topicDetails_topicIds", "[string]"
"video_fileDetails_durationMs", "unsigned long"
"video_fileDetails_bitrateBps", "unsigned long"
"video_fileDetails_creationTime", "string"
"video_localizations_key_title", "string",
"video_localizations_key_description", "string"
