"Nom de la donnée",     "Format",       "Longueur", "Type"
"channels_kind", "youtube#channel",     "15",       "E"
"channels_channels_etag", "etag",       "41",       "E"
"channels_id", "AN",                    "30",       "E"
"channels_snippet_title", "AN",         "30",       "E"
"channels_snippet_description", "AN",   "300",      "E"
"channels_snippet_customUrl", "AN",     "40",       "E"
"channels_snippet_publishedAt", "date",     ,       "E"
"channels_snippet_defaultLanguage", "AN","10",      "E"
"channels_snippet_localized_title", "AN","50",      "E"
"channels_snippet_localized_description", "AN","300","E"
"channels_snippet_country", "AN",       "29",       "E"
"channels_contentDetails_relatedPlaylists_likes", "AN","12","E"
"channels_contentDetails_relatedPlaylists_favorites", "AN","12","E"
"channels_contentDetails_relatedPlaylists_uploads", "AN","12","E"
"channels_contentDetails_relatedPlaylists_watchHistory", "AN","12","E"
"channels_contentDetails_relatedPlaylists_watchLater", "AN","12","E"
"channels_statistics_viewCount", "NUMERIQUE","12",  "E"
"channels_statistics_commentCount", "NUMERIQUE","12","E"
"channels_statistics_subscriberCount", "NUMERIQUE","12","E"
"channels_statistics_hiddenSubscriberCount", "boolean","12","E"
"channels_statistics_videoCount", "NUMERIQUE","12", "E"
"channels_topicDetails_topicIds", "[AN]",   "20   ","E"
"channels_topicDetails_topicCategories", "[AN]","20","E"
"channels_status_privacyStatus", "AN",  "20",   "E"
"channels_status_isLinked", "boolean",  "1",    "E"
"channels_status_longUploadsStatus", "AN","20", "E"
"channels_brandingSettings_channel_title", "AN","20", "E"
"channels_brandingSettings_channel_description", "AN","180", "E"
"channels_brandingSettings_channel_keywords", "AN","20", "E"
"channels_brandingSettings_channel_moderateComments", "boolean","1","E"
"channels_brandingSettings_channel_showRelatedChannels", "boolean","1","E"
"channels_brandingSettings_channel_showBrowseView", "boolean","1","E"
"channels_brandingSettings_channel_featuredChannelsTitle", "AN","30","E"
"channels_brandingSettings_channel_unsubscribedTrailer", "AN","30","E"
"channels_brandingSettings_channel_profileColor", "AN","15","E"
"channels_brandingSettings_channel_defaultLanguage", "AN","25","E"
"channels_brandingSettings_channel_country", "AN","30","E"
"channels_brandingSettings_channels_contentOwnerDetails_contentOwner", "AN","30","E"
"channels_brandingSettings_channels_contentOwnerDetails_timeLinked", "date",,"E"
"channels_localizations_key_title", "AN","30","E"
"channels_localizations_key_description", "AN","160","E"
