"Nom de la donnée",         "Format",           "Longueur", "Type"
"video_kind",               "youtube#video",    "14",       "E"
"video_etag",               "etag",             "41",       "E"
"video_id",                 "AN",               "30",       "E"
"video_snippet_publishedAt","date",                 ,       "E"
"video_snippet_channelId",  "AN",               "30",       "E"
"video_snippet_title", "AN",                    "100",      "E"
"video_snippet_description", "AN",              "300",      "E"
"video_snippet_categoryId", "AN",               "20",       "E"
"video_snippet_defaultLanguage", "AN",          "20",       "E"
"video_snippet_localized_title", "AN",          "50",       "E"
"video_snippet_localized_description", "AN",    "300",      "E"
"video_snippet_defaultAudioLanguage", "AN",     "20",       "E"
"video_status_uploadStatus", "AN",              "20",       "E"
"video_status_failureReason", "AN",             "30",       "E"
"video_status_rejectionReason", "AN",           "30",       "E"
"video_status_privacyStatus", "AN",             "30",       "E"
"video_status_publishAt", "date",                   ,       "E"
"video_status_license", "AN",                   "30",       "E"       
"video_status_embeddable", "boolean",               ,       "E"
"video_status_publicStatsViewable", "boolean",      ,       "E"
"video_statistics_viewCount", "NUMERIQUE",      "12",       "E"
"video_statistics_likeCount", "NUMERIQUE",      "12",       "E"
"video_statistics_dislikeCount", "NUMERIQUE",   "12",       "E"
"video_statistics_favoriteCount", "NUMERIQUE",  "12",       "E"
"video_statistics_commentCount", "NUMERIQUE",   "12",       "E"
"video_topicDetails_topicIds", "[AN]",          "30",       "E"
"video_fileDetails_durationMs", "NUMERIQUE",    "12",       "E"
"video_fileDetails_bitrateBps", "NUMERIQUE",    "12",       "E"
"video_fileDetails_creationTime", "AN",         "25",       "E"
"video_localizations_key_title", "AN",          "30",       "E"
"video_localizations_key_description", "AN",    "160",      "E"
